" Cushing, OK WTI Crude oil Spot Price FOB (Dollars per Barrel) ", Europe Brent Spot Price FOB (Dollars per Barrel) , U.S. Field Production of Crude Oil (Thousand Barrels) , Alaska Field Production of Crude Oil (Thousand Barrels) , U.S. Imports of Crude Oil (Thousand Barrels) , U.S. Percent of Crude Oil Stocks Held in SPR (Percent) , U.S. Percent of Total Petroleum Stocks Held in SPR (Percent) 
0.06975222830975553,0.06827276439363004,0.455507481503828,0.9724931909057545,0.32232034953983457,0.4974619289340101,0.4933333333333334
0.49693351868509283,0.49399755002041656,0.10865499983786064,0.1763217369468215,0.9832899507297573,0.8629441624365479,0.8533333333333337
0.3880121023795895,0.42474479379338514,0.5953915076308686,0.037802545925167574,0.2242400297480711,0.19796954314720816,0.3400000000000001
0.3876850110393327,0.3858717844017967,0.14322114926354335,0.2569877726052271,0.9920842242260853,0.8223350253807107,0.8200000000000001
0.1822716493580833,0.1867701102490813,0.1820441942803125,0.3078676427978133,0.819317653620898,0.7461928934010151,0.6399999999999999
0.47747158393981526,0.5447937933850552,0.774629216729246,0.0876586374084877,0.6256251743051037,0.3959390862944159,0.4999999999999998
0.6727451140731049,0.7964066966108617,0.4370098354727542,0.10137340879677029,0.5298317374732732,0.7309644670050761,0.7933333333333337
0.11865238367814213,0.1241322988975092,0.2291530526913662,0.42452046591589565,0.6833038951380496,0.7157360406091366,0.6799999999999999
0.6654673317523919,0.6689260922825644,0.1263665155658713,0.21630705634646216,0.9495026494375755,0.9644670050761421,0.9533333333333334
0.06713549758770138,0.06688444262964476,0.2679053459808597,0.5303173713998726,0.7294738309937715,0.6345177664974617,0.5066666666666666
0.6045465696295691,0.8375663536137199,0.16506377973415043,0.1297108308060809,0.739750859905178,0.8527918781725887,0.7933333333333337
0.38793032954452533,0.38407513270722743,0.15827554456720083,0.1966234619173637,0.7644138700381148,0.781725888324873,0.8
0.6550004088641753,0.6587178440179666,0.12582015500524246,0.23071722459386892,0.9138700381147159,1.0,0.9666666666666666
0.08021915119797202,0.07456104532462228,0.39832829391053637,0.8539859761633409,0.3548247652691271,0.5025380710659895,0.46666666666666656
0.6846021751574127,0.8638628011433238,0.2907345699818109,0.08338967335664202,0.44590034396207123,0.690355329949238,0.7866666666666668
0.6801046692288822,0.8386280114332381,0.36627383080314024,0.11943441055457901,0.6431579436645906,0.7157360406091366,0.7533333333333336
0.29724425545833677,0.29620253164556964,0.13898390693003337,0.21543781027255696,0.8481360974249327,0.7461928934010151,0.8133333333333332
0.05773162155531933,0.2273581053491221,0.5364199429465933,1.0000000000000002,0.1286743515850145,0.41624365482233516,0.31333333333333324
0.6111701692697686,0.8162515312372397,0.19339198520502765,0.1058741718016574,0.7843543738960678,0.796954314720812,0.7666666666666664
0.3126175484504048,0.37468354430379747,0.6252959043593874,0.0702350827715428,0.5180254717858138,0.32487309644670015,0.42000000000000015
0.08259056341483362,0.08158432013066559,0.3713718858185041,0.8064092410515945,0.461583155154783,0.548223350253807,0.4800000000000002
0.06492763104096821,0.065659452837893,0.470679796352945,0.8770306554115398,0.20940782746118813,0.44670050761421276,0.3666666666666665
0.08888707171477636,0.08852592895059207,0.36718574195469333,0.8136722749135584,0.2677001022589942,0.4974619289340101,0.44666666666666655
0.6789598495379835,0.7991016741527155,0.48745188636879533,0.11514612992331316,0.5903551175978433,0.7563451776649748,0.8600000000000005
0.057159211709869984,0.05308289097590853,0.4223917424872966,0.9104676543877611,0.44276750023240685,0.5228426395939083,0.46666666666666656
0.3738654019134844,0.34446712944058805,0.1019060711860642,0.21281075547142111,0.8833736171795109,0.8781725888324869,0.8733333333333333
0.6576989124212936,0.7511637403021642,0.3727240299397726,0.09362746044930362,0.5789114065259832,0.654822335025381,0.7666666666666664
0.2871861967454412,0.2978358513679053,0.5796060111453624,0.09327976201974156,0.6390675838988565,0.25888324873096424,0.41333333333333333
