" Cushing, OK WTI Crude oil Spot Price FOB (Dollars per Barrel) ", Europe Brent Spot Price FOB (Dollars per Barrel) , U.S. Field Production of Crude Oil (Thousand Barrels) , Alaska Field Production of Crude Oil (Thousand Barrels) , U.S. Imports of Crude Oil (Thousand Barrels) , U.S. Percent of Crude Oil Stocks Held in SPR (Percent) , U.S. Percent of Total Petroleum Stocks Held in SPR (Percent) 
74.41,73.67,157919.0,21112.0,317114.0,67.5,39.5
20.1,19.08,179738.0,30686.0,291123.0,63.4,35.0
45.18,46.37,273321.0,13843.0,242677.0,57.5,33.8
75.79,79.44,279821.0,15386.0,218845.0,66.0,38.2
19.59,17.77,226436.0,56260.0,180834.0,63.3,34.6
100.27,110.69,191472.0,18374.0,264348.0,68.6,40.0
92.94,108.47,223683.0,16527.0,232398.0,65.6,39.6
114.84,122.71,353634.0,12559.0,194195.0,54.2,29.5
40.94,42.69,335867.0,13919.0,167107.0,56.0,31.5
21.78,20.24,221064.0,51291.0,210673.0,63.1,35.2
133.88,132.32,154133.0,19655.0,300528.0,71.7,42.3
19.7,17.56,193239.0,39915.0,239601.0,63.8,37.1
21.33,19.87,200482.0,39869.0,276743.0,64.1,35.3
54.51,53.68,158342.0,23934.0,316538.0,69.1,40.3
112.58,109.07,155403.0,21033.0,299373.0,69.9,42.5
20.05,17.67,228731.0,55828.0,179269.0,63.3,35.6
14.54,13.18,236847.0,60584.0,156355.0,62.8,34.1
17.94,16.89,218076.0,54939.0,148539.0,62.9,35.2
13.72,12.21,188018.0,34046.0,263842.0,62.9,34.1
95.39,94.99,149297.0,20479.0,279439.0,71.1,42.5
19.09,17.65,203842.0,45609.0,216035.0,62.3,35.0
18.68,38.11,254945.0,59707.0,123964.0,61.3,33.9
17.99,16.86,197559.0,44155.0,219061.0,65.0,36.9
59.82,61.48,280734.0,13397.0,219618.0,61.3,35.9
26.35,24.34,168706.0,27237.0,289623.0,67.4,37.8
72.49,75.17,351757.0,11780.0,198342.0,58.6,32.7
49.78,49.52,272918.0,15383.0,234666.0,58.6,33.9
48.47,43.11,162699.0,28408.0,307154.0,70.0,40.6
19.78,17.62,230766.0,53484.0,192628.0,63.3,34.8
52.0,54.77,344846.0,14207.0,179388.0,57.3,32.3
76.32,75.58,164234.0,16886.0,307894.0,68.3,39.7
109.53,123.26,166858.0,18183.0,265167.0,67.8,41.4
28.17,25.0,171774.0,29127.0,297835.0,67.3,40.1
47.22,47.76,290891.0,15510.0,222315.0,64.0,37.5
14.17,12.08,192026.0,35819.0,294715.0,62.5,33.9
21.34,19.86,255782.0,59202.0,164131.0,62.1,34.0
57.35,63.92,368965.0,13903.0,215083.0,59.4,33.0
15.52,14.89,250459.0,62268.0,157766.0,62.3,34.0
27.04,25.35,183057.0,31065.0,289026.0,63.6,35.5
59.27,64.08,293711.0,14650.0,224604.0,60.7,36.0
36.04,36.02,233799.0,58416.0,159080.0,63.0,35.2
38.31,40.27,313275.0,10829.0,191789.0,55.2,31.0
47.82,55.89,297091.0,15684.0,235360.0,60.9,36.8
49.65,50.18,158344.0,19577.0,281218.0,67.1,40.0
59.08,58.76,151926.0,19649.0,296627.0,67.3,39.5
94.13,113.36,196867.0,12539.0,268600.0,67.4,39.3
89.49,111.71,216057.0,16946.0,251338.0,66.5,39.1
42.34,44.74,327875.0,13751.0,167927.0,56.2,31.1
40.78,38.22,170011.0,25130.0,319253.0,69.3,40.4
77.99,76.66,161838.0,19865.0,262201.0,69.5,40.4
19.66,18.46,198691.0,38376.0,253506.0,64.5,36.1
19.95,18.51,212255.0,48606.0,211074.0,62.3,35.3
17.45,15.9,198264.0,45425.0,236041.0,63.8,35.1
50.9,56.56,292807.0,13940.0,228160.0,62.1,36.0
64.15,64.44,167336.0,17089.0,281911.0,68.9,39.5
79.92,77.17,147061.0,19179.0,309200.0,70.2,40.8
54.81,59.04,380827.75,11834.0,215273.0,60.0,33.1
31.82,29.8,174686.0,27758.0,286000.0,66.2,37.3
15.03,13.34,173676.0,32796.0,255012.0,64.5,34.1
34.69,30.86,161583.0,27071.0,270188.0,69.5,41.5
103.32,119.75,189601.0,16572.0,259077.0,66.1,39.7
19.74,18.35,205509.0,47051.0,227067.0,64.0,36.7
